Date,Algerian dinar(DZD),Australian dollar(AUD),Botswana pula(BWP),Brazilian real(BRL),Brunei dollar(BND),Canadian dollar(CAD),Chilean peso(CLP),Chinese yuan(CNY),Czech koruna(CZK),Danish krone(DKK),Euro(EUR),Indian rupee(INR),Israeli New Shekel(ILS),Japanese yen(JPY),Korean won(KRW),Kuwaiti dinar(KWD),Malaysian ringgit(MYR),Mauritian rupee(MUR),Mexican peso(MXN),New Zealand dollar(NZD),Norwegian krone(NOK),Omani rial(OMR),Peruvian sol(PEN),Philippine peso(PHP),Polish zloty(PLN),Qatari riyal(QAR),Russian ruble(RUB),Saudi Arabian riyal(SAR),Singapore dollar(SGD),South African rand(ZAR),Swedish krona(SEK),Swiss franc(CHF),Thai baht(THB),Trinidadian dollar(TTD),U.A.E. dirham(AED),U.K. pound(GBP),U.S. dollar(USD),Uruguayan peso(UYU)
28-Sep-2021,0.00516542,0.516483,0.0626704,0.130358,0.521858,0.557211,0.000888197,0.109436,,0.110961,0.825101,0.00957705,,0.00636353,0.000600853,2.34576,0.168908,0.01653,0.0347948,0.494863,0.0816766,,0.171325,0.0138753,0.178664,0.194105,0.00974431,0.188411,0.521858,0.046806,0.0809764,0.761197,0.0209831,0.104527,0.192387,0.96104,0.706543,0.0165018
29-Sep-2021,0.00516805,0.513179,0.0626087,0.130604,0.521098,0.555249,0.000885821,0.109372,0.0323861,0.110874,0.824454,0.00954032,0.22025,0.00633739,0.000598514,2.34758,0.169043,0.0165456,0.0345133,0.49139,0.0812835,1.8399,0.171501,0.0138859,0.178269,0.194352,0.00972286,0.188651,0.521098,0.0470659,0.0810182,0.761961,0.0208963,0.1048,0.192633,0.955402,0.707443,0.0164967
30-Sep-2021,0.00517449,0.511473,,0.130505,0.521481,,0.000883271,0.109817,0.0322338,0.110524,0.821864,0.00955878,0.219817,0.00634249,0.000599028,2.35302,0.169481,0.0165962,0.0345189,0.487908,0.0808525,1.846,0.171778,0.0139286,0.17778,0.194997,0.00976806,0.189277,0.521481,0.0468082,0.0807394,0.757956,0.0209396,0.105207,0.193271,0.9536,0.709788,0.0165298
01-Oct-2021,0.00516005,0.510811,,0.131412,0.520751,0.559805,0.000872493,,0.0324661,0.110487,0.821717,0.00953858,0.219516,0.00635886,0.000597686,,0.169286,0.0165727,0.0345376,0.488709,0.0820042,,0.171645,0.0139228,0.178531,,0.00971424,,0.520751,0.0473492,0.080689,0.759531,0.0210045,0.105105,,0.95723,0.708377,0.0164961
04-Oct-2021,0.00516088,,0.0628323,0.130553,0.521269,0.562323,0.000880173,,0.032517,0.110702,0.82333,0.00953049,0.219947,0.00637624,,2.34684,0.1696,0.0165432,0.0343903,0.49063,0.0825223,,0.171449,0.0139037,0.179733,0.194388,0.00970287,0.188686,0.521269,0.047492,0.0808172,0.762346,0.0209912,0.104687,0.192667,0.961624,0.707571,0.0164574
05-Oct-2021,0.00516148,0.514272,0.0625055,0.129636,0.52111,0.562923,0.000878378,,0.0324461,0.110418,0.821278,0.00949778,0.219225,0.00638186,0.000596257,2.34785,,0.0165523,0.0343933,0.492399,0.0828274,,,0.0139499,0.17836,0.194471,0.00975458,0.188767,0.52111,0.0472827,0.0809769,0.763373,0.0209381,0.104653,0.19275,0.964446,0.707876,0.0164492
06-Oct-2021,0.00516504,0.515079,0.0625757,0.128782,0.522595,0.562495,0.000875214,,0.0322123,0.110068,0.818876,0.00950667,0.218636,0.00635616,0.000597654,2.35315,0.169751,0.0165862,0.0342829,0.494291,0.082523,,0.171744,0.0139906,0.177404,0.194911,0.00977667,0.189193,0.522595,0.0468994,0.0807948,0.763246,0.0209303,0.104825,0.193186,0.96297,0.709475,0.016387
07-Oct-2021,0.00516185,0.516042,0.0627953,0.128551,0.521716,0.564382,0.000868269,,0.0322526,0.110143,0.819458,0.0094676,0.219564,0.00636336,0.000595589,2.34997,0.169497,0.0165555,0.0343987,0.490385,0.0824503,,0.17295,0.0139628,0.180188,0.194712,0.0098049,0.189,0.521716,0.0476716,0.0807105,0.76539,0.0209714,0.104583,0.192989,0.963512,0.708751,0.0163699
08-Oct-2021,,0.517271,0.0627274,0.128687,0.521779,0.567845,0.000871149,0.10992,0.0322336,0.110195,0.819992,0.00945121,0.21937,0.00634429,0.000595467,,0.169484,0.0165453,0.0341924,0.492038,0.0829492,,,0.0139709,0.178198,,0.00984584,,0.521779,0.0475664,0.0805803,0.762995,0.0209186,0.104553,,0.966002,0.708784,0.0163243
12-Oct-2021,0.0051671,0.521578,0.0625978,,0.523358,0.569558,0.00086533,0.109919,0.0323176,0.110214,0.820088,0.00942001,0.220002,0.00625419,0.000594709,2.35164,0.170116,0.0165284,,0.491627,0.0831665,,0.174723,0.0140082,0.178935,0.19498,0.00987375,0.18926,0.523358,0.047486,0.0809783,0.764503,0.0211979,0.105015,0.193254,0.966327,0.709726,0.0162695
13-Oct-2021,0.00516544,0.520795,0.0627934,0.127926,0.523793,0.570133,0.000857376,0.110058,,0.110253,0.820359,0.00940303,0.219329,0.00625247,0.000591719,2.35099,0.170622,0.0165197,,0.491988,0.0832391,1.84533,0.177516,0.0139594,0.179002,0.194926,0.0098741,0.189208,0.523793,0.0476897,0.0808959,0.765074,,,0.193201,0.966664,0.70953,0.0162089
14-Oct-2021,0.00516437,0.523084,0.0630137,0.128773,0.524575,0.572275,0.000863238,0.109999,0.0323562,0.1104,0.821444,0.00940216,0.219813,0.00624466,0.000592485,2.34676,0.170348,0.0164721,0.0343573,0.493914,0.0838825,1.8414,0.179883,0.0139682,0.179687,0.194511,0.0098631,0.188805,0.524575,0.0478479,0.0817697,0.769586,0.0213201,,0.192789,0.970659,0.708019,0.016128
15-Oct-2021,0.00516785,0.52568,0.0630363,0.129949,0.52523,0.572157,0.000867121,0.110175,0.0323471,0.110445,0.821738,,0.220029,0.00621892,0.000596039,,0.17034,0.016485,0.0346053,0.498341,0.0841729,,,0.013995,0.179705,,0.00994247,,0.52523,0.0482178,0.0821186,0.766903,0.0213014,0.104718,,0.973557,0.708273,0.0161378
18-Oct-2021,,0.524619,0.0632122,0.12841,0.524853,0.572652,0.000857741,0.110148,0.0323086,0.110527,0.822326,0.00940569,0.219466,0.0062016,0.000599135,2.3481,0.170187,0.0164984,0.0348086,0.501658,0.0842176,1.84306,0.179725,0.0139813,0.179539,0.194686,0.00995705,0.188975,0.524853,0.0479795,0.0819607,0.765785,0.0211811,0.10493,0.192963,0.972844,0.708657,0.0161927
